model,se_type,term,estimate,std_error,statistic,p_value,pr,conf_low,conf_high
M1,HC1,age_group<20,0.3080712653452516,0.03140697762688571,9.809007062224588,1.029768269092909e-22,1.3607979632183227,1.2795565712452086,1.4471975200729676
M1,HC1,age_group>=35,-0.14204044003849767,0.0373131865049846,-3.8067089236541816,1.408283294010234e-4,0.8675861705583433,0.806400883876788,0.9334138620055115
M1,HC1,year2020,-0.021717373491330915,0.03895831168793226,-0.557451607895475,0.5772189135133812,0.9785167507469744,0.9065803053041626,1.0561612974497299
M1,HC1,year2021,-0.030689042795646198,0.03951044916903896,-0.7767323186924091,0.4373167150750546,0.9697770853661989,0.89751134039048,1.04786151770761
M1,HC1,year2022,0.016373367873602687,0.0387001916251378,0.42308234626330193,0.6722351820914396,1.0165081460474699,0.9422553134788403,1.0966123472054776
M1,HC1,year2023,-0.15354936044135878,0.04094172729923298,-3.7504367932281992,1.7652679972778292e-4,0.8576584287554099,0.791523946176238,0.929318669344992
M1,HC3,(Intercept),-1.2237687953404064,0.03852296113332413,-31.767256704516157,1.8345337392716866e-221,0.2941195989128616,0.2727297777301967,0.3171869943378192
M1,HC3,raceBlack,0.1671671814135428,0.0515427194132076,3.2432743812641545,0.0011816435592024404,1.1819518491726106,1.0683799667369316,1.307596751396726
M1,HC3,raceBrown,0.13033060816074762,0.0342123189507617,3.8094643145446874,1.3926820484028024e-4,1.1392049515266705,1.0653191898289365,1.218215098323044
M1,HC3,raceYellow,0.3285996567669411,0.1607046566325113,2.044742595843759,0.04088024179366567,1.3890216588385487,1.0137116843394867,1.9032839401271555
M1,HC3,raceIndigenous,0.5651148293844905,0.07635215538099305,7.4014260182256635,1.3472973350344415e-13,1.7596498306280446,1.515074488133886,2.0437064650485244
M1,HC3,regionSouth,-0.09450090686093482,0.049074604461441164,-1.9256580444817635,0.05414708587524034,0.9098269095391741,0.8263910993656945,1.0016867388298107
M1,HC3,regionNortheast,0.07634170441186745,0.03382987407581317,2.2566357841233677,0.02403084244681095,1.0793313234271515,1.0100856722071294,1.1533240573400778
M1,HC3,regionNorth,0.360082223957256,0.039049428366767766,9.221190655474402,2.9381922750058094e-20,1.4334472734222015,1.3278290885068726,1.5474665402850212
M1,HC3,regionCentral-West,0.10950191083819356,0.05139160624765883,2.1307353249575067,0.0331109531514596,1.1157222028977096,1.0088129701485204,1.233961171073811
M1,HC3,age_group<20,0.3080712653452516,0.03144452993146749,9.797292757013212,1.1564352039775485e-22,1.3607979632183227,1.2794623961267517,1.4473040413730827
M1,HC3,age_group>=35,-0.14204044003849767,0.037337192334135696,-3.8042614122496983,1.422279208398594e-4,0.8675861705583433,0.8063629424585764,0.9334577814911897
M1,HC3,year2020,-0.021717373491330915,0.03898574217643549,-0.5570593832238943,0.5774868571417999,0.9785167507469744,0.906531565450735,1.0562180821760376
M1,HC3,year2021,-0.030689042795646198,0.039537482705511794,-0.7762012322389947,0.4376301786410609,0.9697770853661989,0.8974637863554455,1.0479170408875778
M1,HC3,year2022,0.016373367873602687,0.038728157058851936,0.4227768403418074,0.6724580865148693,1.0165081460474699,0.9422036677603809,1.0966724566430448
M1,HC3,year2023,-0.15354936044135878,0.04096641679641252,-3.748176493063589,1.7812489773139076e-4,0.8576584287554099,0.7914856441396465,0.9293636414780204
